NO,JARINGAN PENGAMATAN,NO STASIUN,LINTANG,BUJUR,DESA,KECAMATAN,KAB/KOTA,PROVINSI,JARINGAN
5286,Pos Hujan,11061101a,5.53665,95.37668,,,Kab. Aceh Besar,Nanggroe Aceh Darussalam,PHOBS
5287,Pos Hujan,11061301a,5.67046,95.12485,,,Kab. Aceh Besar,Nanggroe Aceh Darussalam,PHOBS
5288,Pos Hujan,11061201a,5.5884,95.3973,,,Kab. Aceh Besar,Nanggroe Aceh Darussalam,PHOBS
5289,Pos Hujan,11061401a,5.4478,95.7285,,,Kab. Aceh Besar,Nanggroe Aceh Darussalam,PHOBS
5290,Pos Hujan,11061501a,5.29846,95.60126,,,Kab. Aceh Besar,Nanggroe Aceh Darussalam,PHOBS
5291,Pos Hujan,11061601a,5.3981,95.50921,,,Kab. Aceh Besar,Nanggroe Aceh Darussalam,PHOBS
5292,Pos Hujan,11062001a,5.60011,95.38777,,,Kab. Aceh Besar,Nanggroe Aceh Darussalam,PHOBS
5293,Pos Hujan,11062201a,5.38697,95.25649,,,Kab. Aceh Besar,Nanggroe Aceh Darussalam,PHOBS
5294,Pos Hujan,11062301a,5.51416,95.4241,,,Kab. Aceh Besar,Nanggroe Aceh Darussalam,PHOBS
5295,Pos Hujan,11070401a,5.34335,95.91162,,,Kab. Pidie,Nanggroe Aceh Darussalam,PHOBS
5296,Pos Hujan,11070501a,4.84633,96.1327,,,Kab. Pidie,Nanggroe Aceh Darussalam,PHOBS
5297,Pos Hujan,11070601a,5.24727,96.0267,,,Kab. Pidie,Nanggroe Aceh Darussalam,PHOBS
5298,Pos Hujan,11070801a,5.31158,96.01857,,,Kab. Pidie,Nanggroe Aceh Darussalam,PHOBS
5299,Pos Hujan,11070901a,5.367,95.9567,,,Kab. Pidie,Nanggroe Aceh Darussalam,PHOBS
5300,Pos Hujan,11070902a,5.37819,95.93594,,,Kab. Pidie,Nanggroe Aceh Darussalam,PHOBS
5301,Pos Hujan,11071101a,5.29225,95.91347,,,Kab. Pidie,Nanggroe Aceh Darussalam,PHOBS
5302,Pos Hujan,11071201a,5.52608,95.82909,,,Kab. Pidie,Nanggroe Aceh Darussalam,PHOBS
5303,Pos Hujan,11071302a,5.28,95.96,,,Kab. Pidie,Nanggroe Aceh Darussalam,PHOBS
5304,Pos Hujan,11071301a,5.27589,95.96849,,,Kab. Pidie,Nanggroe Aceh Darussalam,PHOBS
